Multithreaded Web Crawler Started - Query: 'Stephen'
Number of threads: 20
Start Time: 2025-09-30 09:18:46
================================================================================
URL                                                Size     Time                 Code   Priority   Domain P.  Depth 
================================================================================

Fetching seed URLs for query: 'Stephen'
Found 10 seed URLs
https://tasvideos.org/8991S                        144346   2025-09-30 09:19:04  200    9.8658     9.9658     1     
https://crazystupidtech.com/2025/09/29/irobot-foun 0        2025-09-30 09:19:04  404    9.8658     9.9658     1     
https://awakeningbell.org/index.html               9700     2025-09-30 09:19:04  200    9.8658     9.9658     1     
https://neon.com/blog/implementing-a-kalman-filter 388233   2025-09-30 09:19:04  200    9.8658     9.9658     1     
https://variety.com/2025/film/news/sag-aftra-tilly 749528   2025-09-30 09:19:05  200    9.8658     9.9658     1     
https://www.britbox.com/index.html?utm_source=bbc. 0        2025-09-30 09:19:05  404    9.8658     9.9658     1     
https://civilization.2k.com/civ-vii/from-the-devs/ 0        2025-09-30 09:19:05  404    9.8658     9.9658     1     
https://www.bbc.co.uk/editorialguidelines/guidance 151      2025-09-30 09:19:05  200    9.8658     9.9658     1     
https://www.bbc.co.uk/aboutthebbc                  319654   2025-09-30 09:19:05  200    9.8658     9.9658     1     
https://www.bbc.co.uk/accessibility/index.html     85465    2025-09-30 09:19:05  200    9.8658     9.9658     1     
https://www.bbc.co.uk/contact                      125941   2025-09-30 09:19:05  200    9.8658     9.9658     1     
https://nytlicensing.com/index.html                0        2025-09-30 09:19:06  404    9.8658     9.9658     1     
https://www.nytco.com/careers/index.html           0        2025-09-30 09:19:07  404    9.8658     9.9658     1     
https://www.nytco.com/index.html                   0        2025-09-30 09:19:07  404    9.8658     9.9658     1     
https://theguardian.newspapers.com/index.html      0        2025-09-30 09:19:07  404    9.8658     9.9658     1     
https://theguardian.newspapers.com/index.html      0        2025-09-30 09:19:07  404    9.8658     9.9658     1     
https://theguardian.newspapers.com/index.html      0        2025-09-30 09:19:07  404    9.8658     9.9658     1     
https://www.youtube.com/user/TheGuardian           1647304  2025-09-30 09:19:08  200    9.8658     9.9658     1     
https://www.firefox.com/index.html?utm_source=www. 0        2025-09-30 09:19:08  404    9.8658     9.9658     1     
https://getpocket.com/firefox_learnmore/index.html 0        2025-09-30 09:19:08  404    9.8658     9.9658     1     
https://relay.firefox.com/                         85782    2025-09-30 09:19:08  200    9.8658     9.9658     1     
https://www.thunderbird.net/index.html?utm_source= 0        2025-09-30 09:19:08  404    9.8658     9.9658     1     
https://www.mozilla.ai/index.html?utm_source=www.m 28684    2025-09-30 09:19:09  200    9.8658     9.9658     1     
https://www.firefox.com/browsers/enterprise/index. 0        2025-09-30 09:19:09  404    9.8658     9.9658     1     
https://bsky.app/profile/mozilla.org               5933     2025-09-30 09:19:09  200    9.8658     9.9658     1     
https://www.firefox.com/channel/desktop/developer/ 0        2025-09-30 09:19:09  404    9.8658     9.9658     1     
https://www.firefox.com/firefox/143.0.1/releasenot 0        2025-09-30 09:19:09  404    9.8658     9.9658     1     
https://www.microsoft.com/index.html               0        2025-09-30 09:19:09  403    9.7658     9.9658     2     
https://open.spotify.com/show/0vT7LJMeVDxyQ2ZamHKu 20398    2025-09-30 09:19:09  200    9.8658     9.9658     1     
https://bsky.app/profile/firefox.com               6229     2025-09-30 09:19:09  200    9.8658     9.9658     1     
https://www.tiktok.com/@mozilla                    261517   2025-09-30 09:19:09  200    9.8658     9.9658     1     
https://www.youtube.com/user/firefoxchannel        1080879  2025-09-30 09:19:09  200    9.8658     9.9658     1     
